make,model,year,mileage,hp,gear,fuel,price
Volkswagen,up,2019,31997,60,manual,gasoline,10190
Volkswagen,Polo,2022,100,95,manual,gasoline,24390
Volkswagen,Golf,2019,44607,116,manual,diesel,18630
Volkswagen,Tiguan,2019,42934,150,automatic,diesel,29990
Volkswagen,T6 Multivan,2021,10645,204,automatic,diesel,44850
Volkswagen,Passat Variant,2020,21163,122,automatic,diesel,27946
Volkswagen,Tiguan,2020,34811,239,automatic,diesel,38010
Volkswagen,Tiguan,2018,76850,239,automatic,diesel,35990
Volkswagen,T6,2021,27874,110,manual,diesel,35980
Volkswagen,T6 Multivan,2022,16962,150,automatic,diesel,61990
Volkswagen,Golf,2018,54800,110,automatic,gasoline,17720
Volkswagen,Tiguan,2020,20684,150,automatic,gasoline,30900
Volkswagen,T-Roc,2018,41800,150,manual,gasoline,21675
Volkswagen,T-Cross,2021,13074,110,automatic,gasoline,27980
Volkswagen,Golf Variant,2020,18300,150,automatic,gasolin,25390
Volkswagen,Touareg,2019,39032,421,automatic,diesel,78980
Volkswagen,California,2019,0,114,manual,gasoline,33676
Volkswagen,Golf Variant,2019,22740,150,automatic,gasoline,23900
Volkswagen,Caddy,2019,15,102,manual,diesel,31980
Volkswagen,T6 Multivan,2021,36800,204,automatic,diesel,68480
Volkswagen,Polo,2017,57146,110,manual,gasoline,13990
Volkswagen,Polo,2020,20567,116,manual,gasoline,18790
Volkswagen,Golf Variant,2020,10,150,automatic,gasoline,50170
Volkswagen,T6 Multivan,2021,15500,150,manual,diesel,58980
Volkswagen,T6 Multivan,2021,6187,199,automatic,diesel,72980
Volkswagen,T-Roc,2018,60500,116,manual,diesel,19990
Volkswagen,Caddy,2017,36554,150,automatic,diesel,27510
Volkswagen,Passat Variant,2021,25672,150,automatic,diesel,37990
Volkswagen,T-Roc,2021,16300,190,automatic,gasoline,38485
Volkswagen,T-Roc,2022,15,150,automatic,gasoline,36400
Volkswagen,T-Roc,2022,0,150,automatic,gasoline,37804
Volkswagen,Tiguan,2018,26347,179,automatic,gasoline,28930
Volkswagen,Passat Variant,2019,49651,150,manual,gasoline,23985
Volkswagen,Tiguan,2020,32924,190,automatic,diesel,38800
Volkswagen,up,2018,48685,60,manual,gasoline,9410
Volkswagen,T-Roc,2021,6200,150,automatic,gasoline,34590
Volkswagen,Golf,2019,36637,116,manual,gasoline,20080
Volkswagen,T6 Multivan,2019,0,204,automatic,diesel,81990
Volkswagen,Golf,2019,105633,184,automatic,diesel,24990
Volkswagen,Touran,2017,76037,150,manual,gasoline,24316
Volkswagen,Crafter,2018,24665,102,manual,diesel,28890
Volkswagen,Tiguan,2020,24350,150,automatic,gasoline,31890
